time,ax,ay,az,atotal
6.237199068069458,-1.08,0.16,-0.11,1.09
6.247174024581909,-1.02,0.12,-0.19,1.04
6.257181167602539,-0.99,0.01,-0.18,1.0
6.267827033996582,-1.01,-0.03,-0.13,1.01
6.276470184326172,-0.99,-0.04,-0.12,0.99
6.2873759269714355,-0.93,-0.03,-0.09,0.93
6.297365188598633,-0.8,-0.01,-0.04,0.8
6.30710506439209,-0.67,-0.03,-0.08,0.67
6.316734075546265,-0.59,-0.03,-0.05,0.59
6.326560974121094,-0.58,-0.02,-0.01,0.58
6.337152004241943,-0.59,-0.06,-0.02,0.59
6.34703803062439,-0.54,-0.06,0.0,0.54
6.356873989105225,-0.48,-0.09,-0.06,0.49
6.367383003234863,-0.43,-0.11,-0.11,0.45
6.376378059387207,-0.45,-0.12,-0.15,0.48
6.387085914611816,-0.43,-0.11,-0.17,0.47
6.396949052810669,-0.41,-0.17,-0.18,0.47
6.406790018081665,-0.4,-0.23,-0.15,0.48
6.416910171508789,-0.4,-0.26,-0.11,0.48
6.426531076431274,-0.42,-0.23,-0.05,0.48
6.436760902404785,-0.42,-0.26,0.02,0.49
6.4469099044799805,-0.35,-0.22,0.07,0.41
6.456796169281006,-0.3,-0.22,0.04,0.37
6.467134952545166,-0.26,-0.2,0.01,0.32
6.475851058959961,-0.24,-0.14,0.01,0.27
6.486780166625977,-0.19,-0.07,0.06,0.21
6.496203899383545,-0.11,-0.05,0.06,0.13
6.507113933563232,-0.04,0.01,0.03,0.05
6.516925096511841,-0.01,0.08,0.02,0.08
6.525573253631592,-0.02,0.08,0.02,0.08
6.536484241485596,-0.06,0.09,0.05,0.11
6.546584129333496,-0.09,0.09,0.12,0.17
6.556847095489502,-0.11,0.04,0.19,0.22
6.566608905792236,-0.11,-0.02,0.21,0.23
6.576188087463379,-0.08,-0.01,0.2,0.21
6.586307048797607,-0.06,0.02,0.18,0.19
6.596405029296875,-0.04,0.07,0.12,0.14
6.606624126434326,-0.01,0.13,0.07,0.14
6.6162450313568115,-0.01,0.18,0.1,0.2
6.6269330978393555,0.0,0.21,0.13,0.24
6.63570499420166,0.06,0.13,0.14,0.2
6.645945072174072,0.07,0.04,0.2,0.21
6.656042098999023,0.03,0.03,0.18,0.18
6.6663899421691895,-0.06,0.01,0.17,0.18
6.675302028656006,-0.13,0.03,0.19,0.23
6.686060905456543,-0.15,0.05,0.21,0.26
6.695611000061035,-0.19,0.04,0.17,0.25
6.706603050231934,-0.23,0.03,0.13,0.26
6.716071128845215,-0.25,0.01,0.05,0.25
6.7256059646606445,-0.23,-0.01,0.03,0.23
6.73572301864624,-0.2,0.01,0.06,0.2
6.745272159576416,-0.2,0.06,0.1,0.23
6.755665063858032,-0.18,0.09,0.15,0.25
6.766016960144043,-0.19,0.13,0.14,0.26
6.775137901306152,-0.2,0.17,0.14,0.29
6.78577995300293,-0.24,0.2,0.11,0.33
6.795310974121094,-0.29,0.17,0.15,0.36
6.8056111335754395,-0.33,0.14,0.25,0.43
6.815899133682251,-0.34,0.12,0.27,0.45
6.825093030929565,-0.33,0.11,0.26,0.43
6.835387229919434,-0.33,0.16,0.17,0.4
6.845221996307373,-0.29,0.23,0.1,0.38
6.85582709312439,-0.3,0.29,0.03,0.41
6.865701198577881,-0.33,0.25,-0.02,0.41
6.875240087509155,-0.36,0.27,0.01,0.45
6.885773181915283,-0.42,0.37,0.01,0.55
6.895030975341797,-0.43,0.48,-0.01,0.64
6.905320167541504,-0.41,0.53,-0.04,0.67
6.915462970733643,-0.39,0.67,-0.11,0.78
6.924570083618164,-0.41,0.82,-0.17,0.93
6.9359259605407715,-0.44,0.93,-0.21,1.05
6.944874048233032,-0.49,0.99,-0.21,1.12
6.955193996429443,-0.5,1.04,-0.17,1.16
6.965439081192017,-0.54,1.07,-0.13,1.2
6.975106239318848,-0.6,1.14,-0.09,1.29
6.98584508895874,-0.62,1.25,-0.06,1.39
6.994828224182129,-0.61,1.32,-0.07,1.45
7.005540132522583,-0.6,1.42,-0.06,1.54
7.01529598236084,-0.58,1.52,-0.02,1.62
7.026252031326294,-0.64,1.57,0.05,1.69
7.035955905914307,-0.7,1.54,0.17,1.7
7.044755935668945,-0.77,1.58,0.25,1.77
7.054851055145264,-0.86,1.62,0.39,1.87
7.064590930938721,-0.94,1.68,0.48,1.98
7.074059009552002,-0.95,1.71,0.58,2.04
7.085728168487549,-0.88,1.74,0.6,2.04
7.0946221351623535,-0.89,1.81,0.59,2.1
7.104548931121826,-0.89,1.91,0.58,2.18
7.1149139404296875,-0.82,1.96,0.59,2.2
7.124939918518066,-0.81,2.03,0.58,2.26
7.136075973510742,-0.86,2.08,0.6,2.32
7.144439220428467,-0.82,2.09,0.59,2.32
7.154349088668823,-0.82,2.07,0.61,2.3
7.164371013641357,-0.86,2.0,0.65,2.27
7.173871040344238,-1.02,1.91,0.72,2.28
7.1860411167144775,-0.83,1.81,0.73,2.12
7.193993091583252,-0.83,1.76,0.83,2.11
7.204355239868164,-0.95,1.73,0.83,2.14
7.214009046554565,-0.93,1.73,0.78,2.11
7.22418212890625,-0.93,1.74,0.79,2.12
7.235564231872559,-0.93,1.79,0.77,2.15
7.243895053863525,-0.85,1.86,0.77,2.18
7.254361152648926,-0.76,1.87,0.8,2.17
7.264020919799805,-0.64,1.73,0.78,2.0
7.273668050765991,-0.6,1.64,0.73,1.89
7.285494089126587,-0.75,1.5,0.71,1.82
7.293926239013672,-0.89,1.45,0.77,1.86
7.304270029067993,-1.03,1.34,0.84,1.88
7.313794136047363,-1.05,1.2,0.86,1.81
7.324104070663452,-1.03,1.09,0.85,1.72
7.333830118179321,-1.02,1.01,0.78,1.63
7.343869209289551,-1.01,0.95,0.69,1.54
7.354040145874023,-1.04,0.93,0.6,1.51
7.36337423324585,-1.04,1.02,0.6,1.57
7.37376594543457,-1.09,0.98,0.53,1.55
7.3837809562683105,-1.08,0.89,0.52,1.49
7.393608093261719,-1.08,0.66,0.58,1.39
7.403878211975098,-1.17,0.49,0.61,1.4
7.413584232330322,-1.32,0.43,0.62,1.52
7.423532962799072,-1.39,0.39,0.57,1.55
7.433463096618652,-1.29,0.28,0.49,1.4
7.443548202514648,-1.26,0.24,0.41,1.34
7.453614234924316,-1.23,0.24,0.34,1.29
7.463344097137451,-1.19,0.25,0.23,1.23
7.474797248840332,-1.16,0.28,0.17,1.2
